商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180402-427224788482384,2018/4/7 12:12,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180404-387024980480369,2018/4/7 10:36,3,0,优惠券结算,交易成功优惠券支付金额结算
180401-435857084162749,2018/4/7 9:44,0.37,0,优惠券结算,交易成功优惠券支付金额结算
180405-332594384000590,2018/4/7 9:33,0,-0.76,优惠券结算,退款扣除优惠券支付金额
180405-332594384000590,2018/4/7 9:33,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180404-339631388800354,2018/4/7 8:14,0,-0.75,优惠券结算,退款扣除优惠券支付金额
180404-339631388800354,2018/4/7 8:14,0.75,0,优惠券结算,交易成功优惠券支付金额结算
180402-459691825282674,2018/4/7 7:37,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-234878656000602,2018/4/7 7:20,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180407-234878656000602,2018/4/7 7:20,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-414275628801740,2018/4/7 2:49,3,0,优惠券结算,交易成功优惠券支付金额结算
180403-256258972802846,2018/4/6 21:03,3,0,优惠券结算,交易成功优惠券支付金额结算
180402-317097976323885,2018/4/6 21:00,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180403-262967964161855,2018/4/6 20:41,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180404-343896583683857,2018/4/6 19:05,21.2,0,优惠券结算,交易成功优惠券支付金额结算
180403-490435213452373,2018/4/6 18:36,0,-0.68,优惠券结算,退款扣除优惠券支付金额
180403-490435213452373,2018/4/6 18:36,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180403-106320360963685,2018/4/6 17:31,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-375876207364007,2018/4/6 17:28,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180403-360580303362476,2018/4/6 16:21,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180402-476215544962694,2018/4/6 15:51,1.04,0,优惠券结算,交易成功优惠券支付金额结算
180402-313298808962716,2018/4/6 15:50,0.3,0,优惠券结算,交易成功优惠券支付金额结算
180404-269468859520744,2018/4/6 15:38,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180404-277887889923131,2018/4/6 14:47,3,0,优惠券结算,交易成功优惠券支付金额结算
180403-484684727042059,2018/4/6 14:11,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180402-324007058563805,2018/4/6 13:25,10,0,优惠券结算,交易成功优惠券支付金额结算
180401-331774630402345,2018/4/6 12:59,3,0,优惠券结算,交易成功优惠券支付金额结算
180404-275837928961106,2018/4/6 12:39,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-242115295361789,2018/4/6 9:13,0,-0.69,优惠券结算,退款扣除优惠券支付金额
180403-242115295361789,2018/4/6 9:13,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180402-279210653443966,2018/4/6 8:59,0.6,0,优惠券结算,交易成功优惠券支付金额结算
180401-511190817931365,2018/4/6 8:58,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180403-239539679360053,2018/4/6 8:25,3,0,优惠券结算,交易成功优惠券支付金额结算
180403-154730883200175,2018/4/6 7:48,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180402-241756316813989,2018/4/6 3:47,0.2,0,优惠券结算,交易成功优惠券支付金额结算
180402-432806219520947,2018/4/5 21:00,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180402-479259498240255,2018/4/5 20:12,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180402-380864867840195,2018/4/5 18:34,1.02,0,优惠券结算,交易成功优惠券支付金额结算
180401-513863545601164,2018/4/5 18:25,1,0,优惠券结算,交易成功优惠券支付金额结算
180402-484225600640748,2018/4/5 18:01,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180402-542865969923210,2018/4/5 16:27,3,0,优惠券结算,交易成功优惠券支付金额结算
