订单号,商品ID,商品名称,扣款原因,申请人,申请时间,申请扣款金额(元),打款状态
180501-382429793282847,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0519:12:19,2,小额打款成
180502-538169335683825,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0518:12:19,9,小额打款成功
180430-312379342723081,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0517:29:22,4,小额打款成功
180429-496783469443195,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0515:05:44,5.94,小额打款成功
180502-527507015683086,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0513:45:33,4,小额打款成功
180502-336485091201704,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0513:42:15,4.5,小额打款成功
180502-347414078720526,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0512:27:51,3.7,小额打款成功
180502-529769036803323,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0512:26:52,3.5,小额打款成功
180502-522905820160846,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0511:58:00,1,小额打款成功
180429-516251275520543,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0511:18:17,4,小额打款成功
180502-481827503362587,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0510:00:17,19.8,小额打款成
180502-271348679680877,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0422:24:00,9,小额打款成功
180430-507343304962305,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0421:41:30,3.5,小额打款成功
180428-517769146243481,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0420:33:23,4.5,小额打款成功
180430-342642110723945,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0420:32:46,4,小额打款成功
180428-313933040642346,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0420:31:03,5,小额打款成功
180425-359442633603888,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：002,2018-05-0417:33:15,4.5,小额打款成功
180406-386330929283677,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：002,2018-05-0417:29:50,5.8,小额打款成功
180501-479063271680121,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0417:00:19,5,小额打款成功
180430-420238783360772,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0416:15:34,2.7,小额打款成功
180501-479696375042044,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0415:51:32,3.5,小额打款成
180502-214395127043728,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0415:36:23,4,小额打款成功
180502-263239472001134,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0415:31:15,5,小额打款成功
